university_admission_code,university_code,university_name,institution_type,region,province,major_group_code,major_group_name,submajor_code,submajor_name,major_admission_code,major_code,major_name,admission_method,subject_combination,combination_group,cutoff_score,score_scale,cutoff_score_30,is_scale_40,weighted_subject,weighted_subject_factor,gender_requirement,honors_program,campus,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,years_observed,cutoff_avg_recent,cutoff_std_recent,cutoff_trend,history_ambiguous,job_category,mapping_basis,mapping_confidence,job_demand_level,job_posting_count,job_avg_salary_million,job_median_salary_million,job_avg_experience_months,note
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310108,7310108,Toán kinh tế,THPTQG - Thang 40,D01,D,36.2,40,27.15,True,Toán,2.0,,,,27.4,27.15,26.96,27.15,4,27.09,0.09,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310108,7310108,Toán kinh tế,THPTQG - Thang 40,D07,D,36.2,40,27.15,True,Toán,2.0,,,,27.4,27.15,26.96,27.15,4,27.09,0.09,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7320108,7320108,Quan hệ công chúng,THPTQG,A01,A,28.18,30,28.18,False,,,,,,28.1,28.6,27.2,28.18,4,27.99,0.59,Tăng,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7320108,7320108,Quan hệ công chúng,THPTQG,D01,D,28.18,30,28.18,False,,,,,,28.1,28.6,27.2,28.18,4,27.99,0.59,Tăng,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7320108,7320108,Quan hệ công chúng,THPTQG,C03,C,28.18,30,28.18,False,,,,,,28.1,28.6,27.2,28.18,4,27.99,0.59,Tăng,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7320108,7320108,Quan hệ công chúng,THPTQG,C04,C,28.18,30,28.18,False,,,,,,28.1,28.6,27.2,28.18,4,27.99,0.59,Tăng,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340101,7340101,Quản trị kinh doanh,THPTQG,A00,A,27.15,30,27.15,False,,,,,,27.75,27.45,27.25,27.15,4,27.28,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340101,7340101,Quản trị kinh doanh,THPTQG,A01,A,27.15,30,27.15,False,,,,,,27.75,27.45,27.25,27.15,4,27.28,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340101,7340101,Quản trị kinh doanh,THPTQG,D01,D,27.15,30,27.15,False,,,,,,27.75,27.45,27.25,27.15,4,27.28,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340101,7340101,Quản trị kinh doanh,THPTQG,D07,D,27.15,30,27.15,False,,,,,,27.75,27.45,27.25,27.15,4,27.28,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
