year,exam_program,province_code,candidate_count,mean_math_score,mean_literature_score,mean_physics_score,mean_chemistry_score,mean_biology_score,mean_history_score,mean_geography_score,mean_civics_score,mean_economics_law_score,mean_informatics_score,mean_industrial_technology_score,mean_agricultural_technology_score,mean_foreign_language_score,mean_a00_score,mean_a01_score,mean_a02_score,mean_b00_score,mean_c00_score,mean_c01_score,mean_c02_score,mean_d01_score,mean_d07_score,count_math_score,count_literature_score,count_physics_score,count_chemistry_score,count_biology_score,count_history_score,count_geography_score,count_civics_score,count_economics_law_score,count_informatics_score,count_industrial_technology_score,count_agricultural_technology_score,count_foreign_language_score,count_a00_score,count_a01_score,count_a02_score,count_b00_score,count_c00_score,count_c01_score,count_c02_score,count_d01_score,count_d07_score
2021,pre_2025,57,11286,6.6566,5.9928,6.7024,6.8852,6.5014,5.3461,7.3144,8.8281,,,,,5.9922,21.273,21.3289,20.9,21.08,18.4828,20.7572,20.9404,18.9892,21.5201,11207,11190,3759,3799,3769,7462,7374,6175,0,0,0,0,9888,3752,3700,3719,3766,7370,3716,3716,9875,3693
2021,pre_2025,58,8768,5.9627,6.1541,6.0759,6.5441,5.9842,4.7707,6.9026,8.2793,,,,,4.8649,19.9678,19.6195,19.4129,19.9157,17.6161,20.191,20.6497,17.1562,20.0796,8651,8694,2338,2368,2342,6386,6245,5700,0,0,0,0,8011,2332,2299,2307,2342,6244,2301,2301,8001,2295
2021,pre_2025,59,9584,6.075,7.0286,6.1529,6.2926,5.6454,4.7066,6.8504,8.2595,,,,,5.0536,19.8465,19.8431,19.1964,19.3375,18.4104,20.9439,21.0775,18.2659,19.9782,9386,9488,2962,3016,2988,6555,6463,5937,0,0,0,0,8848,2960,2896,2933,2988,6460,2929,2929,8835,2897
2021,pre_2025,60,6309,6.7996,6.8521,6.5316,6.7013,6.0673,5.5676,7.3378,8.7196,,,,,5.8506,20.9156,20.8267,20.2772,20.4609,19.6752,21.2085,21.3774,19.6601,20.9938,6115,6208,2341,2386,2347,3906,3851,3400,0,0,0,0,5697,2334,2292,2296,2347,3849,2295,2295,5687,2286
2021,pre_2025,61,10871,6.3091,6.4168,6.0082,6.1954,5.7402,5.1567,7.1218,8.6505,,,,,5.1651,19.4315,19.1182,18.9735,19.1642,18.571,19.8318,20.0134,17.927,19.2982,10749,10770,4629,4670,4629,6183,6117,5935,0,0,0,0,10520,4625,4573,4585,4629,6114,4577,4577,10512,4569
2021,pre_2025,62,6245,5.5672,6.405,6.136,6.7304,5.6987,5.0091,6.8659,8.0496,,,,,4.4855,20.5584,19.8188,19.5346,20.1845,18.1784,20.6876,21.2967,16.6201,20.3888,5881,6158,827,840,789,5378,5274,4487,0,0,0,0,5264,822,766,771,789,5269,760,759,5252,761
2021,pre_2025,63,6653,6.1742,5.5084,6.1712,6.3575,5.2796,4.9492,6.8429,8.0049,,,,,4.7693,20.0337,19.3841,18.9569,19.172,17.1869,19.3821,19.5672,16.5243,19.5451,6543,6565,2388,2389,2342,4232,4193,3914,0,0,0,0,6266,2374,2328,2326,2341,4191,2319,2317,6246,2314
2021,pre_2025,64,6785,6.0411,6.2763,6.123,6.5431,5.7417,4.8606,6.9837,8.3854,,,,,4.5907,19.9186,18.8327,19.1728,19.593,18.0093,19.9634,20.391,17.024,19.2657,6703,6691,2267,2297,2251,4474,4380,4122,0,0,0,0,6342,2263,2212,2216,2250,4379,2214,2214,6333,2208
2022,pre_2025,1,96942,6.7658,6.6525,6.8402,6.3104,4.6406,6.4766,6.5576,7.927,,,,,5.8316,21.1286,21.2938,19.4671,18.9505,19.7456,21.2975,20.7297,19.7168,20.7005,95769,95577,26137,26169,25698,69419,69211,56993,0,0,0,0,81922,25914,24435,25475,25692,69152,25066,25062,81414,24298
2022,pre_2025,2,84596,7.0571,6.3406,6.468,6.5919,4.9871,6.4504,6.7419,8.2011,,,,,6.3964,20.5757,20.7248,18.9589,19.121,19.492,20.3739,20.4758,19.9988,20.8065,84094,83072,46752,47182,46804,36476,36217,29545,0,0,0,0,73249,46496,43665,46152,46790,36187,45962,45963,72697,43543
